Cooling Curve : CIE:[Fe/H] = +0.5											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar
7.55	1.238	1.000	1.103	-22.37	-22.51	-7.764	14.37	11549.7	2.487	681.5	1.062
7.60	1.238	1.000	1.103	-22.37	-22.51	-7.714	14.42	12959.1	2.487	721.9	1.062
7.65	1.238	1.000	1.103	-22.37	-22.51	-7.664	14.47	14540.5	2.487	764.7	1.062
7.70	1.238	1.000	1.103	-22.37	-22.50	-7.614	14.52	16314.8	2.487	810.0	1.062
7.75	1.238	1.000	1.103	-22.36	-22.49	-7.564	14.56	18305.7	2.487	858.0	1.062
7.80	1.238	1.000	1.103	-22.35	-22.48	-7.514	14.60	20539.6	2.487	908.8	1.062
7.85	1.238	1.000	1.103	-22.34	-22.47	-7.464	14.64	23046.0	2.487	962.7	1.062
7.90	1.238	1.000	1.103	-22.33	-22.46	-7.414	14.68	25858.3	2.487	1019.7	1.062
7.95	1.238	1.000	1.103	-22.31	-22.45	-7.364	14.71	29013.8	2.487	1080.1	1.062
8.00	1.238	1.000	1.103	-22.30	-22.44	-7.314	14.75	32554.3	2.487	1144.2	1.062
8.05	1.238	1.000	1.103	-22.29	-22.42	-7.264	14.79	36526.9	2.487	1211.9	1.062
8.10	1.238	1.000	1.103	-22.27	-22.41	-7.214	14.82	40984.2	2.487	1283.8	1.062
8.15	1.238	1.000	1.103	-22.26	-22.40	-7.164	14.86	45985.4	2.487	1359.8	1.062
8.20	1.238	1.000	1.103	-22.25	-22.38	-7.114	14.90	51596.8	2.487	1440.4	1.062
8.25	1.238	1.000	1.103	-22.23	-22.37	-7.064	14.93	57892.9	2.487	1525.8	1.062
8.30	1.238	1.000	1.103	-22.21	-22.35	-7.014	14.96	64957.3	2.487	1616.2	1.062
8.35	1.239	1.000	1.103	-22.20	-22.33	-6.964	15.00	72883.6	2.487	1712.0	1.062
8.40	1.239	1.000	1.103	-22.18	-22.32	-6.914	15.03	81777.0	2.487	1813.4	1.062
8.45	1.239	1.000	1.103	-22.16	-22.30	-6.864	15.06	91755.6	2.487	1920.9	1.062
8.50	1.239	1.000	1.103	-22.14	-22.28	-6.814	15.09	102952	2.487	2034.7	1.062
											
											
