Cooling Curve : CIE:[Fe/H] = -3.0											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar
5.05	1.125	1.000	1.064	-22.33	-22.41	-10.29	11.77	34.15	2.115	40.18	0.966
5.10	1.126	1.000	1.064	-22.43	-22.51	-10.24	11.92	38.34	2.115	42.58	0.966
5.15	1.127	1.000	1.064	-22.52	-22.60	-10.19	12.07	43.04	2.115	45.11	0.965
5.20	1.128	1.000	1.064	-22.60	-22.67	-10.14	12.20	48.30	2.115	47.78	0.965
5.25	1.128	1.000	1.064	-22.66	-22.74	-10.09	12.31	54.20	2.115	50.62	0.965
5.30	1.128	1.000	1.064	-22.72	-22.80	-10.04	12.42	60.81	2.115	53.62	0.965
5.35	1.128	1.000	1.064	-22.77	-22.85	-9.993	12.52	68.23	2.115	56.80	0.965
5.40	1.128	1.000	1.064	-22.82	-22.90	-9.943	12.62	76.56	2.115	60.16	0.965
5.45	1.128	1.000	1.064	-22.90	-22.98	-9.893	12.75	85.90	2.115	63.73	0.965
5.50	1.128	1.000	1.064	-22.98	-23.06	-9.843	12.88	96.38	2.115	67.50	0.965
5.55	1.128	1.000	1.064	-23.04	-23.12	-9.793	12.99	108.1	2.115	71.50	0.965
5.60	1.128	1.000	1.064	-23.08	-23.16	-9.743	13.08	121.3	2.115	75.74	0.965
5.65	1.128	1.000	1.064	-23.12	-23.20	-9.693	13.17	136.1	2.115	80.23	0.965
5.70	1.128	1.000	1.064	-23.14	-23.22	-9.643	13.24	152.8	2.115	84.98	0.965
5.75	1.128	1.000	1.064	-23.16	-23.24	-9.593	13.31	171.4	2.115	90.02	0.965
5.80	1.128	1.000	1.064	-23.18	-23.26	-9.543	13.38	192.3	2.115	95.35	0.965
5.85	1.128	1.000	1.064	-23.20	-23.28	-9.493	13.45	215.8	2.115	101.0	0.965
5.90	1.128	1.000	1.064	-23.22	-23.30	-9.443	13.52	242.1	2.115	107.0	0.965
5.95	1.128	1.000	1.064	-23.23	-23.31	-9.393	13.58	271.7	2.115	113.3	0.965
6.00	1.128	1.000	1.064	-23.23	-23.31	-9.343	13.63	304.8	2.115	120.0	0.965
6.05	1.128	1.000	1.064	-23.24	-23.32	-9.293	13.69	342.0	2.115	127.2	0.965
6.10	1.128	1.000	1.064	-23.24	-23.32	-9.243	13.74	383.7	2.115	134.7	0.965
6.15	1.128	1.000	1.064	-23.23	-23.31	-9.193	13.78	430.5	2.115	142.7	0.965
6.20	1.128	1.000	1.064	-23.23	-23.31	-9.143	13.83	483.1	2.115	151.1	0.965
6.25	1.128	1.000	1.064	-23.23	-23.31	-9.093	13.88	542.0	2.115	160.1	0.965
6.30	1.128	1.000	1.064	-23.22	-23.30	-9.043	13.92	608.2	2.115	169.6	0.965
6.35	1.128	1.000	1.064	-23.23	-23.30	-8.993	13.98	682.4	2.115	179.6	0.965
6.40	1.128	1.000	1.064	-23.22	-23.30	-8.943	14.02	765.6	2.115	190.2	0.965
6.45	1.128	1.000	1.064	-23.21	-23.29	-8.893	14.06	859.0	2.115	201.5	0.965
6.50	1.128	1.000	1.064	-23.20	-23.28	-8.843	14.10	963.9	2.115	213.5	0.965
6.55	1.128	1.000	1.064	-23.19	-23.26	-8.793	14.14	1081.5	2.115	226.1	0.965
6.60	1.128	1.000	1.064	-23.17	-23.25	-8.743	14.17	1213.4	2.115	239.5	0.965
6.65	1.128	1.000	1.064	-23.16	-23.24	-8.693	14.21	1361.5	2.115	253.7	0.965
6.70	1.128	1.000	1.064	-23.14	-23.22	-8.643	14.24	1527.6	2.115	268.7	0.965
6.75	1.128	1.000	1.064	-23.13	-23.21	-8.593	14.28	1714.0	2.115	284.7	0.965
6.80	1.128	1.000	1.064	-23.11	-23.19	-8.543	14.31	1923.2	2.115	301.5	0.965
6.85	1.128	1.000	1.064	-23.09	-23.17	-8.493	14.34	2157.8	2.115	319.4	0.965
6.90	1.128	1.000	1.064	-23.08	-23.16	-8.443	14.38	2421.1	2.115	338.3	0.965
6.95	1.128	1.000	1.064	-23.06	-23.14	-8.393	14.41	2716.5	2.115	358.4	0.965
7.00	1.128	1.000	1.064	-23.04	-23.12	-8.343	14.44	3048.0	2.115	379.6	0.965
7.05	1.128	1.000	1.064	-23.03	-23.10	-8.293	14.48	3419.9	2.115	402.1	0.965
7.10	1.128	1.000	1.064	-23.01	-23.09	-8.243	14.51	3837.2	2.115	425.9	0.965
7.15	1.128	1.000	1.064	-22.99	-23.07	-8.193	14.54	4305.4	2.115	451.2	0.965
7.20	1.128	1.000	1.064	-22.97	-23.05	-8.143	14.57	4830.7	2.115	477.9	0.965
7.25	1.128	1.000	1.064	-22.95	-23.03	-8.093	14.60	5420.2	2.115	506.2	0.965
7.30	1.128	1.000	1.064	-22.93	-23.01	-8.043	14.63	6081.5	2.115	536.2	0.965
7.35	1.128	1.000	1.064	-22.91	-22.99	-7.993	14.66	6823.6	2.115	568.0	0.965
7.40	1.128	1.000	1.064	-22.89	-22.96	-7.943	14.69	7656.2	2.115	601.6	0.965
7.45	1.128	1.000	1.064	-22.86	-22.94	-7.893	14.71	8590.4	2.115	637.3	0.965
7.50	1.128	1.000	1.064	-22.84	-22.92	-7.843	14.74	9638.6	2.115	675.0	0.965
7.55	1.128	1.000	1.064	-22.82	-22.90	-7.793	14.77	10814.7	2.115	715.0	0.965
7.60	1.128	1.000	1.064	-22.80	-22.88	-7.743	14.80	12134.3	2.115	757.4	0.965
7.65	1.128	1.000	1.064	-22.78	-22.86	-7.693	14.83	13614.9	2.115	802.3	0.965
7.70	1.128	1.000	1.064	-22.76	-22.84	-7.643	14.86	15276.1	2.115	849.8	0.965
7.75	1.128	1.000	1.064	-22.73	-22.81	-7.593	14.88	17140.1	2.115	900.2	0.965
7.80	1.128	1.000	1.064	-22.71	-22.79	-7.543	14.91	19231.5	2.115	953.5	0.965
7.85	1.128	1.000	1.064	-22.69	-22.77	-7.493	14.94	21578.1	2.115	1010.0	0.965
7.90	1.128	1.000	1.064	-22.67	-22.75	-7.443	14.97	24211.0	2.115	1069.8	0.965
7.95	1.128	1.000	1.064	-22.65	-22.73	-7.393	15.00	27165.2	2.115	1133.2	0.965
8.00	1.128	1.000	1.064	-22.62	-22.70	-7.343	15.02	30479.9	2.115	1200.4	0.965
8.05	1.128	1.000	1.064	-22.60	-22.68	-7.293	15.05	34199.0	2.115	1271.5	0.965
8.10	1.128	1.000	1.064	-22.58	-22.66	-7.243	15.08	38371.9	2.115	1346.9	0.965
8.15	1.128	1.000	1.064	-22.56	-22.63	-7.193	15.11	43054.0	2.115	1426.7	0.965
8.20	1.128	1.000	1.064	-22.53	-22.61	-7.143	15.13	48307.4	2.115	1511.2	0.965
8.25	1.128	1.000	1.064	-22.51	-22.59	-7.093	15.16	54201.8	2.115	1600.8	0.965
8.30	1.128	1.000	1.064	-22.49	-22.57	-7.043	15.19	60815.4	2.115	1695.6	0.965
8.35	1.128	1.000	1.064	-22.46	-22.54	-6.993	15.21	68236.0	2.115	1796.1	0.965
8.40	1.128	1.000	1.064	-22.44	-22.52	-6.943	15.24	76562.1	2.115	1902.5	0.965
8.45	1.128	1.000	1.064	-22.42	-22.50	-6.893	15.27	85904.0	2.115	2015.2	0.965
8.50	1.128	1.000	1.064	-22.39	-22.47	-6.843	15.29	96385.9	2.115	2134.6	0.965
