Cooling Curve : CIE:[Fe/H] = -0.5											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar
4.95	1.142	1.000	1.080	-21.23	-21.32	-10.39	10.59	27.53	2.240	35.06	1.008
5.00	1.152	1.000	1.080	-21.22	-21.32	-10.34	10.63	31.04	2.240	37.22	1.004
5.05	1.157	1.000	1.080	-21.23	-21.33	-10.28	10.69	34.90	2.240	39.47	1.002
5.10	1.159	1.000	1.080	-21.22	-21.32	-10.23	10.73	39.20	2.240	41.83	1.001
5.15	1.160	1.000	1.080	-21.19	-21.29	-10.18	10.75	44.00	2.240	44.32	1.000
5.20	1.161	1.000	1.080	-21.16	-21.26	-10.13	10.77	49.38	2.240	46.95	1.000
5.25	1.161	1.000	1.080	-21.14	-21.23	-10.08	10.80	55.42	2.240	49.74	1.000
5.30	1.161	1.000	1.080	-21.12	-21.21	-10.03	10.83	62.19	2.240	52.69	0.999
5.35	1.162	1.000	1.080	-21.10	-21.20	-9.983	10.86	69.79	2.240	55.81	0.999
5.40	1.162	1.000	1.080	-21.14	-21.23	-9.933	10.95	78.31	2.240	59.12	0.999
5.45	1.162	1.000	1.080	-21.27	-21.37	-9.883	11.13	87.88	2.240	62.63	0.999
5.50	1.163	1.000	1.080	-21.50	-21.60	-9.833	11.42	98.62	2.240	66.35	0.999
5.55	1.163	1.000	1.080	-21.70	-21.79	-9.783	11.67	110.7	2.240	70.28	0.999
5.60	1.163	1.000	1.080	-21.81	-21.91	-9.733	11.83	124.2	2.240	74.45	0.999
5.65	1.163	1.000	1.080	-21.85	-21.95	-9.683	11.92	139.3	2.240	78.86	0.999
5.70	1.163	1.000	1.080	-21.86	-21.96	-9.633	11.98	156.3	2.240	83.53	0.999
5.75	1.163	1.000	1.080	-21.87	-21.97	-9.583	12.04	175.4	2.240	88.48	0.999
5.80	1.163	1.000	1.080	-21.93	-22.03	-9.533	12.15	196.8	2.240	93.73	0.999
5.85	1.163	1.000	1.080	-22.05	-22.15	-9.483	12.32	220.9	2.240	99.29	0.999
5.90	1.163	1.000	1.080	-22.15	-22.24	-9.433	12.47	247.8	2.240	105.2	0.999
5.95	1.164	1.000	1.080	-22.19	-22.29	-9.383	12.56	278.1	2.240	111.4	0.999
6.00	1.164	1.000	1.080	-22.22	-22.32	-9.333	12.64	312.0	2.240	118.0	0.999
6.05	1.164	1.000	1.080	-22.24	-22.34	-9.283	12.71	350.1	2.240	125.0	0.998
6.10	1.164	1.000	1.080	-22.24	-22.34	-9.233	12.76	392.8	2.240	132.4	0.998
6.15	1.164	1.000	1.080	-22.24	-22.34	-9.183	12.81	440.8	2.240	140.3	0.998
6.20	1.164	1.000	1.080	-22.23	-22.33	-9.133	12.85	494.6	2.240	148.6	0.998
6.25	1.164	1.000	1.080	-22.26	-22.36	-9.083	12.93	554.9	2.240	157.4	0.998
6.30	1.164	1.000	1.080	-22.34	-22.44	-9.033	13.06	622.7	2.240	166.7	0.998
6.35	1.164	1.000	1.080	-22.44	-22.54	-8.983	13.21	698.7	2.240	176.6	0.998
6.40	1.164	1.000	1.080	-22.53	-22.63	-8.933	13.35	784.0	2.240	187.1	0.998
6.45	1.165	1.000	1.080	-22.59	-22.69	-8.883	13.46	879.7	2.240	198.2	0.998
6.50	1.165	1.000	1.080	-22.64	-22.74	-8.833	13.56	987.1	2.240	209.9	0.998
6.55	1.165	1.000	1.080	-22.66	-22.76	-8.783	13.63	1107.6	2.240	222.3	0.998
6.60	1.165	1.000	1.080	-22.69	-22.79	-8.733	13.71	1242.8	2.240	235.5	0.998
6.65	1.165	1.000	1.080	-22.71	-22.81	-8.683	13.78	1394.5	2.240	249.5	0.998
6.70	1.165	1.000	1.080	-22.73	-22.83	-8.633	13.85	1564.7	2.240	264.3	0.998
6.75	1.165	1.000	1.080	-22.75	-22.85	-8.583	13.92	1755.6	2.240	279.9	0.998
6.80	1.165	1.000	1.080	-22.76	-22.86	-8.533	13.98	1969.9	2.240	296.5	0.998
6.85	1.165	1.000	1.080	-22.75	-22.85	-8.483	14.02	2210.3	2.240	314.1	0.998
6.90	1.165	1.000	1.080	-22.74	-22.84	-8.433	14.06	2480.0	2.240	332.7	0.998
6.95	1.165	1.000	1.080	-22.74	-22.84	-8.383	14.11	2782.6	2.240	352.4	0.998
7.00	1.165	1.000	1.080	-22.73	-22.83	-8.333	14.15	3122.2	2.240	373.3	0.998
7.05	1.165	1.000	1.080	-22.73	-22.83	-8.283	14.20	3503.2	2.240	395.4	0.998
7.10	1.165	1.000	1.080	-22.75	-22.85	-8.233	14.27	3930.7	2.240	418.9	0.998
7.15	1.165	1.000	1.080	-22.76	-22.86	-8.183	14.33	4410.4	2.240	443.7	0.998
7.20	1.165	1.000	1.080	-22.77	-22.87	-8.133	14.39	4948.5	2.240	470.0	0.998
7.25	1.165	1.000	1.080	-22.77	-22.87	-8.083	14.44	5552.4	2.240	497.8	0.998
7.30	1.165	1.000	1.080	-22.77	-22.87	-8.033	14.49	6229.9	2.240	527.3	0.998
7.35	1.165	1.000	1.080	-22.76	-22.86	-7.983	14.53	6990.0	2.240	558.6	0.998
7.40	1.165	1.000	1.080	-22.75	-22.85	-7.933	14.57	7843.0	2.240	591.7	0.998
7.45	1.165	1.000	1.080	-22.74	-22.84	-7.883	14.61	8800.0	2.240	626.7	0.998
7.50	1.165	1.000	1.080	-22.73	-22.83	-7.833	14.65	9873.8	2.240	663.9	0.998
7.55	1.165	1.000	1.080	-22.72	-22.82	-7.783	14.69	11078.6	2.240	703.2	0.998
7.60	1.165	1.000	1.080	-22.70	-22.80	-7.733	14.72	12430.4	2.240	744.9	0.998
7.65	1.165	1.000	1.080	-22.68	-22.78	-7.683	14.75	13947.1	2.240	789.0	0.998
7.70	1.165	1.000	1.080	-22.66	-22.76	-7.633	14.78	15648.9	2.240	835.8	0.998
7.75	1.165	1.000	1.080	-22.65	-22.75	-7.583	14.82	17558.4	2.240	885.3	0.998
7.80	1.165	1.000	1.080	-22.63	-22.73	-7.533	14.85	19700.9	2.240	937.7	0.998
7.85	1.165	1.000	1.080	-22.61	-22.71	-7.483	14.88	22104.8	2.240	993.3	0.998
7.90	1.165	1.000	1.080	-22.59	-22.69	-7.433	14.91	24802.0	2.240	1052.2	0.998
7.95	1.165	1.000	1.080	-22.57	-22.67	-7.383	14.94	27828.3	2.240	1114.5	0.998
8.00	1.165	1.000	1.080	-22.55	-22.65	-7.333	14.97	31223.9	2.240	1180.5	0.998
8.05	1.165	1.000	1.080	-22.53	-22.63	-7.283	15.00	35033.9	2.240	1250.5	0.998
8.10	1.165	1.000	1.080	-22.50	-22.60	-7.233	15.02	39308.7	2.240	1324.6	0.998
8.15	1.165	1.000	1.080	-22.48	-22.58	-7.183	15.05	44105.1	2.240	1403.1	0.998
8.20	1.165	1.000	1.080	-22.46	-22.56	-7.133	15.08	49486.8	2.240	1486.2	0.998
8.25	1.165	1.000	1.080	-22.44	-22.54	-7.083	15.11	55525.1	2.240	1574.3	0.998
8.30	1.165	1.000	1.080	-22.42	-22.52	-7.033	15.14	62300.2	2.240	1667.6	0.998
8.35	1.165	1.000	1.080	-22.40	-22.50	-6.983	15.17	69902.0	2.240	1766.4	0.998
8.40	1.165	1.000	1.080	-22.38	-22.48	-6.933	15.20	78431.4	2.240	1871.0	0.998
8.45	1.165	1.000	1.080	-22.35	-22.45	-6.883	15.22	88001.5	2.240	1981.9	0.998
8.50	1.165	1.000	1.080	-22.33	-22.43	-6.833	15.25	98739.4	2.240	2099.3	0.998
