Cooling Curve : CIE:[Fe/H] = -1.0											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar
6.30	1.131	1.000	1.064	-22.67	-22.75	-9.042	13.37	609.0	2.126	169.2	0.969
6.35	1.131	1.000	1.064	-22.74	-22.82	-8.992	13.49	683.3	2.126	179.3	0.969
6.40	1.131	1.000	1.064	-22.80	-22.88	-8.942	13.60	766.7	2.126	189.9	0.969
6.45	1.131	1.000	1.064	-22.84	-22.92	-8.892	13.69	860.3	2.126	201.2	0.969
6.50	1.131	1.000	1.064	-22.87	-22.95	-8.842	13.77	965.3	2.126	213.1	0.968
6.55	1.131	1.000	1.064	-22.89	-22.98	-8.792	13.84	1083.1	2.126	225.7	0.968
6.60	1.131	1.000	1.064	-22.91	-22.99	-8.742	13.91	1215.3	2.126	239.1	0.968
6.65	1.131	1.000	1.064	-22.92	-23.00	-8.692	13.97	1363.6	2.126	253.2	0.968
6.70	1.131	1.000	1.064	-22.93	-23.01	-8.642	14.03	1530.0	2.126	268.3	0.968
6.75	1.131	1.000	1.064	-22.94	-23.02	-8.592	14.09	1716.7	2.126	284.2	0.968
6.80	1.131	1.000	1.064	-22.94	-23.02	-8.542	14.14	1926.2	2.126	301.0	0.968
6.85	1.131	1.000	1.064	-22.94	-23.02	-8.492	14.19	2161.3	2.126	318.8	0.968
6.90	1.131	1.000	1.064	-22.93	-23.01	-8.442	14.23	2425.0	2.126	337.7	0.968
6.95	1.131	1.000	1.064	-22.92	-23.00	-8.392	14.27	2720.9	2.126	357.7	0.968
7.00	1.131	1.000	1.064	-22.91	-22.99	-8.342	14.31	3052.9	2.126	378.9	0.968
7.05	1.131	1.000	1.064	-22.90	-22.98	-8.292	14.35	3425.5	2.126	401.4	0.968
7.10	1.131	1.000	1.064	-22.90	-22.98	-8.242	14.40	3843.4	2.126	425.2	0.968
7.15	1.131	1.000	1.064	-22.90	-22.98	-8.192	14.45	4312.4	2.126	450.4	0.968
7.20	1.131	1.000	1.064	-22.89	-22.97	-8.142	14.49	4838.6	2.126	477.0	0.968
7.25	1.131	1.000	1.064	-22.88	-22.96	-8.092	14.53	5429.1	2.126	505.3	0.968
7.30	1.131	1.000	1.064	-22.87	-22.95	-8.042	14.57	6091.5	2.126	535.3	0.968
7.35	1.131	1.000	1.064	-22.85	-22.94	-7.992	14.60	6834.8	2.126	567.0	0.968
7.40	1.131	1.000	1.064	-22.84	-22.92	-7.942	14.64	7668.8	2.126	600.6	0.968
7.45	1.131	1.000	1.064	-22.82	-22.90	-7.892	14.67	8604.5	2.126	636.2	0.968
7.50	1.131	1.000	1.064	-22.81	-22.89	-7.842	14.71	9654.4	2.126	673.9	0.968
7.55	1.131	1.000	1.064	-22.79	-22.87	-7.792	14.74	10832.4	2.126	713.8	0.968
7.60	1.131	1.000	1.064	-22.77	-22.85	-7.742	14.77	12154.2	2.126	756.1	0.968
7.65	1.131	1.000	1.064	-22.75	-22.83	-7.692	14.80	13637.2	2.126	800.9	0.968
7.70	1.131	1.000	1.064	-22.73	-22.81	-7.642	14.83	15301.2	2.126	848.3	0.968
7.75	1.131	1.000	1.064	-22.71	-22.79	-7.592	14.86	17168.3	2.126	898.6	0.968
7.80	1.131	1.000	1.064	-22.69	-22.77	-7.542	14.89	19263.1	2.126	951.8	0.968
7.85	1.131	1.000	1.064	-22.67	-22.75	-7.492	14.92	21613.6	2.126	1008.2	0.968
7.90	1.131	1.000	1.064	-22.65	-22.73	-7.442	14.95	24250.9	2.126	1068.0	0.968
7.95	1.131	1.000	1.064	-22.62	-22.70	-7.392	14.97	27209.9	2.126	1131.3	0.968
8.00	1.131	1.000	1.064	-22.60	-22.68	-7.342	15.00	30530.1	2.126	1198.3	0.968
8.05	1.131	1.000	1.064	-22.58	-22.66	-7.292	15.03	34255.3	2.126	1269.3	0.968
8.10	1.131	1.000	1.064	-22.56	-22.64	-7.242	15.06	38435.1	2.126	1344.5	0.968
8.15	1.131	1.000	1.064	-22.54	-22.62	-7.192	15.09	43124.9	2.126	1424.2	0.968
8.20	1.131	1.000	1.064	-22.51	-22.60	-7.142	15.11	48387.0	2.126	1508.6	0.968
8.25	1.131	1.000	1.064	-22.49	-22.57	-7.092	15.14	54291.1	2.126	1598.0	0.968
8.30	1.131	1.000	1.064	-22.47	-22.55	-7.042	15.17	60915.6	2.126	1692.7	0.968
8.35	1.131	1.000	1.064	-22.45	-22.53	-6.992	15.20	68348.4	2.126	1792.9	0.968
8.40	1.131	1.000	1.064	-22.42	-22.51	-6.942	15.22	76688.2	2.126	1899.2	0.968
8.45	1.131	1.000	1.064	-22.40	-22.48	-6.892	15.25	86045.6	2.126	2011.7	0.968
8.50	1.131	1.000	1.064	-22.38	-22.46	-6.842	15.28	96544.8	2.126	2130.9	0.968
